,name,location.formattedAddress,location.distance,location.lat,location.lng,id
0,Dwellington Apartment,"['Bangalore', 'Karnātaka', 'India']",2367,13.039491797892286,77.55558987238176,56133261498e95c619c830f8
1,Apartment Banaswadi main road cross hight street RD.,"['Banaswadi Main Rd (hight street)', 'Bangalore', 'Karnātaka', 'India']",6732,13.000170430342969,77.6245454591405,4db7040e0437fa536a641766
2,Lavina Courts Apartment,"['7th cross Road', 'Bangalore', 'Karnātaka', 'India']",1693,13.010092,77.577198,5881e078ca10705c93250e49
3,Divya MSR Gateway Apartment,"['MSR Road (Gokula Extension, Mathikere)', 'Bangalore 560054', 'Karnātaka', 'India']",2307,13.03947021158443,77.55673171336488,54c7e234498e3fefe98bb233
4,Surya Nest Apartment,"['#57 Surya Nest Apartment (15th Cross Malleshwarm)', 'Bangalore 560003', 'Karnātaka', 'India']",1785,13.00517729269146,77.5631425495395,56925107498ee19055b48124
5,The Chalet Corporate Apartment,"['Bangalore', 'Karnātaka', 'India']",1914,13.007784,77.554855,588443bcca10705c9390dcfc
6,"J Block, Shriram Sadhana Apartment","['Bangalore', 'Karnātaka', 'India']",2479,13.040211,77.554801,57f7fca2498eacc89b680da7
7,"1/747, Rented Apartment","['1/747, 1st Cross, Beside Karvy Building (Krishna Temple Road)', 'Bangalore 560038', 'Karnātaka', 'India']",9793,12.979005,77.64562,573a06fc498ed9e519ca0969
8,Dwellington Apartment Rooftop,['India'],2367,13.039522,77.555643,5687fbb2498e9a707e6b2313
9,"H Block,Sadhana Apartment","['Bangalore', 'Karnātaka', 'India']",2480,13.04005,77.554501,572255a2498ea8de6ca3f867
10,Dwellington Apartment Swimming Pool,['India'],2376,13.039570229610394,77.55555230539213,567a97c0498ee1d61459008b
11,The Kaiser Serviced Apartment Hotel,"['Bangalore 560024', 'Karnātaka', 'India']",3032,13.029926070972964,77.59263667696135,50fb74cae4b04f8554e9258a
12,Embassy Habitat Apartment,"['Palace Road', 'Bengalur', 'Karnātaka', 'India']",3675,12.994719451019165,77.58685133371019,4d20685af7a9a143a1ae2c9f
